,rdata,count,org,as,org_name
6630,137.184.232.254,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6631,137.184.242.180,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6632,137.220.146.140,1,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6633,137.220.146.252,1,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6634,137.220.202.244,1,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6635,137.220.202.9,1,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6636,137.220.217.167,2,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6637,137.220.225.105,1,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6638,137.220.225.108,3,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6639,137.220.225.11,2,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6640,137.220.225.17,1,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6641,137.220.225.28,1,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6642,137.220.225.63,1,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6643,137.220.225.81,2,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6644,137.220.244.142,2,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6645,137.220.244.145,2,AS152194 CTG Server Limited,AS152194,CTG Server Limited
6646,137.74.59.163,1,AS16276 OVH SAS,AS16276,OVH SAS
6647,138.1.125.45,1,AS31898 Oracle Corporation,AS31898,Oracle Corporation
6648,138.108.137.243,1,AS16477 Nielsen Consumer LLC,AS16477,Nielsen Consumer LLC
6649,138.197.103.178,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6650,138.197.106.76,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6651,138.197.205.182,15,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6652,138.199.36.11,1,AS60068 Datacamp Limited,AS60068,Datacamp Limited
6653,138.201.138.240,60,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6654,138.201.142.99,15,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6655,138.201.159.97,1,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6656,138.201.211.238,1,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6657,138.201.227.111,1,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6658,138.201.229.232,1,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6659,138.201.27.19,1,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6660,138.201.79.102,6,AS24940 Hetzner Online GmbH,AS24940,Hetzner Online GmbH
6661,138.68.135.92,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6662,138.68.153.113,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6663,138.68.190.243,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6664,138.68.192.8,2,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6665,138.68.196.41,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6666,138.68.196.43,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6667,138.68.196.47,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
6668,138.68.200.72,1,"AS14061 DigitalOcean, LLC",AS14061,"DigitalOcean, LLC"
